Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000062096	ENSG00000062096.15	3041471	3112727	X	ARSF
ENSG00000004468	ENSG00000004468.13	15778275	15853232	4	CD38
ENSG00000187550	ENSG00000187550.9	55528611	55537133	19	SBK2
ENSG00000108423	ENSG00000108423.15	59859479	59892945	17	TUBD1
ENSG00000125835	ENSG00000125835.20	2461634	2470853	20	SNRPB
ENSG00000231274	ENSG00000231274.5	55540656	55545543	19	SBK3
ENSG00000251322	ENSG00000251322.11	50674415	50733212	22	SHANK3
ENSG00000218891	ENSG00000218891.5	55576774	55580848	19	ZNF579
ENSG00000179943	ENSG00000179943.8	55591376	55601970	19	FIZ1
ENSG00000226784	ENSG00000226784.3	77967949	77969638	X	PGAM4
ENSG00000187325	ENSG00000187325.5	78129748	78139650	X	TAF9B
ENSG00000166831	ENSG00000166831.9	64739891	64775589	15	RBPMS2
ENSG00000171443	ENSG00000171443.7	55600022	55603138	19	ZNF524
ENSG00000100320	ENSG00000100320.24	35738736	36028824	22	RBFOX2
ENSG00000179922	ENSG00000179922.6	55620741	55624566	19	ZNF784
ENSG00000213015	ENSG00000213015.9	55635016	55643470	19	ZNF580
ENSG00000147050	ENSG00000147050.17	44873188	45112779	X	KDM6A
ENSG00000171425	ENSG00000171425.10	55635459	55645623	19	ZNF581
ENSG00000137440	ENSG00000137440.5	15935577	15938740	4	FGFBP1
ENSG00000166173	ENSG00000166173.11	70829130	70854157	15	LARP6
ENSG00000185739	ENSG00000185739.13	4189374	4242080	16	SRL
ENSG00000197093	ENSG00000197093.11	100159244	100168617	7	GAL3ST4
ENSG00000137441	ENSG00000137441.8	15960245	15969309	4	FGFBP2
ENSG00000007062	ENSG00000007062.12	15963076	16084378	4	PROM1
ENSG00000088387	ENSG00000088387.22	98793429	99086625	13	DOCK9
ENSG00000069667	ENSG00000069667.16	60488284	61229302	15	RORA
ENSG00000090447	ENSG00000090447.12	4257186	4273075	16	TFAP4
ENSG00000213420	ENSG00000213420.8	100169606	100177381	7	GPC2
ENSG00000183665	ENSG00000183665.5	124450820	124462150	8	TRMT12
ENSG00000168875	ENSG00000168875.3	137764315	137766334	3	SOX14
ENSG00000170881	ENSG00000170881.5	124474880	124488618	8	RNF139
ENSG00000214237	ENSG00000214237.11	150870376	150905439	3	MINDY4B
ENSG00000147687	ENSG00000147687.19	124488485	124539458	8	TATDN1
ENSG00000063245	ENSG00000063245.15	55675226	55709858	19	EPN1
ENSG00000126603	ENSG00000126603.9	4314761	4339597	16	GLIS2
ENSG00000165338	ENSG00000165338.17	91409280	91514829	10	HECTD2
ENSG00000141200	ENSG00000141200.8	53822927	53825193	17	KIF2B
ENSG00000157399	ENSG00000157399.17	2934045	2968475	X	ARSL
ENSG00000149573	ENSG00000149573.9	118253416	118264536	11	MPZL2
ENSG00000108443	ENSG00000108443.14	59893046	59950574	17	RPS6KB1
ENSG00000185792	ENSG00000185792.10	55708438	55738402	19	NLRP9
ENSG00000110195	ENSG00000110195.14	72189558	72196323	11	FOLR1
ENSG00000177707	ENSG00000177707.11	111070071	111275563	3	NECTIN3
ENSG00000166526	ENSG00000166526.18	100064033	100082548	7	ZNF3
ENSG00000112769	ENSG00000112769.20	112107931	112254939	6	LAMA4
ENSG00000229292	ENSG00000229292.2	55769118	55773420	19	RFPL4AL1
ENSG00000148090	ENSG00000148090.12	91213815	91361918	9	AUH
ENSG00000102078	ENSG00000102078.16	130339888	130373361	X	SLC25A14
ENSG00000156110	ENSG00000156110.15	74151202	74709963	10	ADK
ENSG00000173213	ENSG00000173213.11	47221	73545	18	TUBB8B
ENSG00000132872	ENSG00000132872.12	43267892	43277535	18	SYT4
ENSG00000240891	ENSG00000240891.8	111674676	111846447	3	PLCXD2
ENSG00000087053	ENSG00000087053.20	95821766	95925315	11	MTMR2
ENSG00000163637	ENSG00000163637.13	64092236	64445476	3	PRICKLE2
ENSG00000180011	ENSG00000180011.7	75195113	75209139	18	PTGR3
ENSG00000071626	ENSG00000071626.17	1407569	1435687	19	DAZAP1
ENSG00000262246	ENSG00000262246.6	4354542	4425705	16	CORO7
ENSG00000113073	ENSG00000113073.15	140360194	140375141	5	SLC4A9
ENSG00000074603	ENSG00000074603.19	65442463	65517704	15	DPP8
ENSG00000154975	ENSG00000154975.14	51630313	52160017	17	CA10
ENSG00000204010	ENSG00000204010.3	89378056	89385205	10	IFIT1B
ENSG00000170579	ENSG00000170579.18	3496032	4455307	18	DLGAP1
ENSG00000185745	ENSG00000185745.10	89392546	89406487	10	IFIT1
ENSG00000096968	ENSG00000096968.14	4984390	5129948	9	JAK2
ENSG00000152779	ENSG00000152779.14	89430299	89556641	10	SLC16A12
ENSG00000099998	ENSG00000099998.19	24219654	24245108	22	GGT5
ENSG00000101438	ENSG00000101438.4	38724486	38729372	20	SLC32A1
ENSG00000101442	ENSG00000101442.10	38748460	38772520	20	ACTR5
ENSG00000152977	ENSG00000152977.10	147393422	147510293	3	ZIC1
ENSG00000168092	ENSG00000168092.14	117144284	117176894	11	PAFAH1B2
ENSG00000215529	ENSG00000215529.13	32858923	32961845	20	EFCAB8
ENSG00000105810	ENSG00000105810.10	92604921	92836573	7	CDK6
ENSG00000168209	ENSG00000168209.6	72273919	72276036	10	DDIT4
ENSG00000175792	ENSG00000175792.12	128064778	128153914	3	RUVBL1
ENSG00000120694	ENSG00000120694.20	31134973	31162388	13	HSPH1
ENSG00000165996	ENSG00000165996.14	17589032	17617374	10	HACD1
ENSG00000144583	ENSG00000144583.5	216257865	216372483	2	MARCHF4
ENSG00000178385	ENSG00000178385.15	207821288	208025527	2	PLEKHM3
ENSG00000139914	ENSG00000139914.7	24130659	24132849	14	FITM1
ENSG00000122778	ENSG00000122778.10	138831381	138981389	7	KIAA1549
ENSG00000165762	ENSG00000165762.3	19875142	19883932	14	OR4K2
ENSG00000071655	ENSG00000071655.18	1573596	1592865	19	MBD3
ENSG00000165379	ENSG00000165379.14	41606876	41904549	14	LRFN5
ENSG00000136738	ENSG00000136738.15	17644151	17716824	10	STAM
ENSG00000149577	ENSG00000149577.16	117178736	117197445	11	SIDT2
ENSG00000176299	ENSG00000176299.5	19773504	19783696	14	OR4M1
ENSG00000170873	ENSG00000170873.19	124550784	124728473	8	MTSS1
ENSG00000185651	ENSG00000185651.16	21549447	21624034	22	UBE2L3
ENSG00000169484	ENSG00000169484.4	20014143	20019307	14	OR4K14
ENSG00000255804	ENSG00000255804.2	22630929	22644352	14	OR6J1
ENSG00000176253	ENSG00000176253.4	20029399	20036038	14	OR4K13
ENSG00000155249	ENSG00000155249.5	19930917	19936757	14	OR4K1
ENSG00000169208	ENSG00000169208.3	21568520	21580076	14	OR10G3
ENSG00000147262	ENSG00000147262.5	130379449	130385674	X	GPR119
ENSG00000175809	ENSG00000175809.6	22272913	22274461	X	CBLL2
ENSG00000101203	ENSG00000101203.17	63293186	63334851	20	COL20A1
ENSG00000102174	ENSG00000102174.10	22032325	22494713	X	PHEX
ENSG00000174373	ENSG00000174373.17	35538352	35809304	14	RALGAPA1
ENSG00000093072	ENSG00000093072.19	17178790	17258235	22	ADA2
ENSG00000075429	ENSG00000075429.9	66835117	66894751	17	CACNG5
ENSG00000092607	ENSG00000092607.15	118883046	118989556	1	TBX15
ENSG00000132321	ENSG00000132321.17	236324147	236507535	2	IQCA1
ENSG00000107937	ENSG00000107937.19	988434	1019932	10	GTPBP4
ENSG00000198829	ENSG00000198829.6	151873643	151884619	3	SUCNR1
ENSG00000059758	ENSG00000059758.8	96278261	96400480	12	CDK17
ENSG00000136235	ENSG00000136235.17	23235967	23275108	7	GPNMB
ENSG00000117091	ENSG00000117091.10	160678746	160711831	1	CD48
ENSG00000115266	ENSG00000115266.12	1446302	1473244	19	APC2
ENSG00000189050	ENSG00000189050.16	59952240	59964761	17	RNFT1
ENSG00000143171	ENSG00000143171.13	165400922	165445355	1	RXRG
ENSG00000131503	ENSG00000131503.21	140401814	140539856	5	ANKHD1
ENSG00000121068	ENSG00000121068.14	61399843	61409466	17	TBX2
ENSG00000148377	ENSG00000148377.6	1018910	1025859	10	IDI2
ENSG00000165091	ENSG00000165091.18	72521608	72838297	9	TMC1
ENSG00000108984	ENSG00000108984.15	69414697	69553865	17	MAP2K6
ENSG00000177519	ENSG00000177519.4	153477338	153478762	2	RPRM
ENSG00000264230	ENSG00000264230.9	46375627	46391784	10	ANXA8L1
ENSG00000099399	ENSG00000099399.6	30215563	30220089	X	MAGEB2
ENSG00000120289	ENSG00000120289.12	30242000	30244187	X	MAGEB4
ENSG00000163254	ENSG00000163254.5	208128137	208129828	2	CRYGC
ENSG00000102287	ENSG00000102287.19	151953124	151974680	X	GABRE
ENSG00000168918	ENSG00000168918.14	233059967	233207903	2	INPP5D
ENSG00000111647	ENSG00000111647.13	100028455	100142874	12	BLTP3B
ENSG00000182931	ENSG00000182931.10	45684651	45705019	20	WFDC10B
ENSG00000013275	ENSG00000013275.8	39971165	39981764	19	PSMC4
ENSG00000004864	ENSG00000004864.14	96120220	96322147	7	SLC25A13
ENSG00000130699	ENSG00000130699.20	61953469	62065881	20	TAF4
ENSG00000149591	ENSG00000149591.17	117199370	117207464	11	TAGLN
ENSG00000187676	ENSG00000187676.8	31199975	31332276	13	B3GLCT
ENSG00000104687	ENSG00000104687.14	30678066	30727846	8	GSR
ENSG00000127364	ENSG00000127364.4	141776674	141781691	7	TAS2R4
ENSG00000136280	ENSG00000136280.17	44999475	45076469	7	CCM2
ENSG00000255302	ENSG00000255302.5	48878134	48880173	15	EID1
ENSG00000180776	ENSG00000180776.17	21348784	21459370	13	ZDHHC20
ENSG00000156218	ENSG00000156218.13	83654088	84039842	15	ADAMTSL3
ENSG00000215595	ENSG00000215595.3	1203454	1209076	20	C20orf202
ENSG00000124143	ENSG00000124143.11	38601809	38651035	20	ARHGAP40
ENSG00000136895	ENSG00000136895.19	127224265	127393660	9	GARNL3
ENSG00000158901	ENSG00000158901.12	45551153	45579326	20	WFDC8
ENSG00000187187	ENSG00000187187.14	39984134	40021038	19	ZNF546
ENSG00000118922	ENSG00000118922.19	73686089	74134404	13	KLF12
ENSG00000154229	ENSG00000154229.12	66302613	66810743	17	PRKCA
ENSG00000204174	ENSG00000204174.8	46461099	46465958	10	NPY4R
ENSG00000168140	ENSG00000168140.5	4371848	4383538	16	VASN
ENSG00000165730	ENSG00000165730.16	68827531	68895432	10	STOX1
ENSG00000139793	ENSG00000139793.21	97221434	97394120	13	MBNL2
ENSG00000103423	ENSG00000103423.14	4425805	4456775	16	DNAJA3
ENSG00000128322	ENSG00000128322.7	23573125	23580302	22	IGLL1
ENSG00000111816	ENSG00000111816.8	115931149	116060891	6	FRK
ENSG00000147234	ENSG00000147234.11	107449652	107605255	X	FRMPD3
ENSG00000189269	ENSG00000189269.12	23608452	23632321	22	DRICH1
ENSG00000146469	ENSG00000146469.13	152750797	152759765	6	VIP
ENSG00000174600	ENSG00000174600.14	108288044	108339317	12	CMKLR1
ENSG00000107625	ENSG00000107625.14	68901286	68946847	10	DDX50
ENSG00000196459	ENSG00000196459.15	13712244	13734635	X	TRAPPC2
ENSG00000128000	ENSG00000128000.17	40028260	40056231	19	ZNF780B
ENSG00000111886	ENSG00000111886.11	89254464	89315299	6	GABRR2
ENSG00000196110	ENSG00000196110.8	9291140	9309838	19	ZNF699
ENSG00000141198	ENSG00000141198.16	54899387	54961956	17	TOM1L1
ENSG00000198719	ENSG00000198719.9	170282206	170306565	6	DLL1
ENSG00000198028	ENSG00000198028.4	9466355	9498616	19	ZNF560
ENSG00000187905	ENSG00000187905.11	21045946	21064168	22	LRRC74B
ENSG00000145375	ENSG00000145375.9	122923070	123319433	4	SPATA5
ENSG00000100227	ENSG00000100227.19	42583721	42614962	22	POLDIP3
ENSG00000018625	ENSG00000018625.15	160115759	160143591	1	ATP1A2
ENSG00000104691	ENSG00000104691.16	30729131	30767006	8	UBXN8
ENSG00000186231	ENSG00000186231.17	96924620	97140754	6	KLHL32
ENSG00000126950	ENSG00000126950.8	101078879	101096367	X	TMEM35A
ENSG00000057593	ENSG00000057593.14	113105788	113120685	13	F7
ENSG00000140287	ENSG00000140287.11	50241947	50265965	15	HDC
ENSG00000164056	ENSG00000164056.11	123396795	123403760	4	SPRY1
ENSG00000163590	ENSG00000163590.14	160755602	161078902	3	PPM1L
ENSG00000127377	ENSG00000127377.10	151428832	151440813	7	CRYGN
ENSG00000103415	ENSG00000103415.12	4474690	4510347	16	HMOX2
ENSG00000198440	ENSG00000198440.9	56397966	56436035	19	ZNF583
ENSG00000084092	ENSG00000084092.7	56963350	56977606	4	NOA1
ENSG00000031081	ENSG00000031081.11	119294383	119420714	3	ARHGAP31
ENSG00000146757	ENSG00000146757.14	65373799	65401136	7	ZNF92
ENSG00000107738	ENSG00000107738.20	71747556	71773520	10	VSIR
ENSG00000159069	ENSG00000159069.14	136940435	136944738	9	FBXW5
ENSG00000110274	ENSG00000110274.16	117314557	117413266	11	CEP164
ENSG00000253719	ENSG00000253719.4	74537835	74545430	12	ATXN7L3B
ENSG00000047315	ENSG00000047315.17	56977722	57031158	4	POLR2B
ENSG00000107736	ENSG00000107736.22	71396920	71815947	10	CDH23
ENSG00000187260	ENSG00000187260.16	151375909	151410727	7	WDR86
ENSG00000126218	ENSG00000126218.12	113122799	113149529	13	F10
ENSG00000104695	ENSG00000104695.13	30774457	30814314	8	PPP2CB
ENSG00000047457	ENSG00000047457.14	149162410	149221829	3	CP
ENSG00000080573	ENSG00000080573.7	9959561	10010504	19	COL5A3
ENSG00000243056	ENSG00000243056.2	140547662	140549576	5	EIF4EBP3
ENSG00000085511	ENSG00000085511.20	160991727	161117385	6	MAP3K4
ENSG00000184925	ENSG00000184925.12	136949551	136955497	9	LCN12
ENSG00000140450	ENSG00000140450.9	97960703	97973833	15	ARRDC4
ENSG00000170340	ENSG00000170340.11	62196115	62224731	2	B3GNT2
ENSG00000006652	ENSG00000006652.15	112422887	112481017	7	IFRD1
ENSG00000256453	ENSG00000256453.2	140670794	140673576	5	DND1
ENSG00000241973	ENSG00000241973.11	20707691	20859417	22	PI4KA
ENSG00000130066	ENSG00000130066.17	23783173	23786210	X	SAT1
ENSG00000115685	ENSG00000115685.15	241149576	241183652	2	PPP1R7
ENSG00000169612	ENSG00000169612.4	82986210	82991057	15	RAMAC
ENSG00000112855	ENSG00000112855.17	140691430	140699305	5	HARS2
ENSG00000107317	ENSG00000107317.13	136975092	136981742	9	PTGDS
ENSG00000126231	ENSG00000126231.15	113158648	113172386	13	PROZ
ENSG00000214107	ENSG00000214107.9	30243715	30252040	X	MAGEB1
ENSG00000183655	ENSG00000183655.13	85759326	85794925	15	KLHL25
ENSG00000168615	ENSG00000168615.13	38996754	39105445	8	ADAM9
ENSG00000134216	ENSG00000134216.19	111290851	111320566	1	CHIA
ENSG00000171054	ENSG00000171054.9	131544074	131545000	X	OR13H1
ENSG00000171478	ENSG00000171478.8	48130626	48132620	X	SPACA5B
ENSG00000214402	ENSG00000214402.7	136981904	136986410	9	LCNL1
ENSG00000130052	ENSG00000130052.14	68647666	68725842	X	STARD8
ENSG00000176463	ENSG00000176463.14	91853708	92172435	15	SLCO3A1
ENSG00000183908	ENSG00000183908.7	57181747	57191717	11	LRRC55
ENSG00000169583	ENSG00000169583.13	136994608	136996568	9	CLIC3
ENSG00000080511	ENSG00000080511.5	10013249	10022279	19	RDH8
ENSG00000149115	ENSG00000149115.14	57299638	57324952	11	TNKS1BP1
ENSG00000185942	ENSG00000185942.13	62248591	63014000	8	NKAIN3
ENSG00000180549	ENSG00000180549.8	137030174	137032088	9	FUT7
ENSG00000105339	ENSG00000105339.11	141117278	141195808	8	DENND3
ENSG00000198798	ENSG00000198798.6	30230657	30237495	X	MAGEB3
ENSG00000215113	ENSG00000215113.7	71763349	71767204	X	CXorf49B
ENSG00000149136	ENSG00000149136.9	57325986	57335892	11	SSRP1
ENSG00000181026	ENSG00000181026.15	88621337	88632281	15	AEN
ENSG00000163453	ENSG00000163453.11	57030773	57110385	4	IGFBP7
ENSG00000166160	ENSG00000166160.9	154219756	154233286	X	OPN1MW2
ENSG00000054179	ENSG00000054179.12	137048107	137054061	9	ENTPD2
ENSG00000084093	ENSG00000084093.19	56907876	56966808	4	REST
ENSG00000173193	ENSG00000173193.15	122680839	122730840	3	PARP14
ENSG00000185787	ENSG00000185787.15	78810487	78898139	15	MORF4L1
ENSG00000156575	ENSG00000156575.2	57376769	57381150	11	PRG3
ENSG00000267978	ENSG00000267978.6	149581653	149587459	X	MAGEA9B
ENSG00000186193	ENSG00000186193.9	137062127	137070557	9	SAPCD2
ENSG00000186652	ENSG00000186652.10	57386780	57390650	11	PRG2
ENSG00000225396	ENSG00000225396.6	72807425	72808210	X	FAM236D
ENSG00000012983	ENSG00000012983.12	50418501	50561126	14	MAP4K5
ENSG00000123165	ENSG00000123165.9	128050962	128052403	X	ACTRT1
ENSG00000215115	ENSG00000215115.7	71714371	71718285	X	CXorf49
ENSG00000197355	ENSG00000197355.11	137077517	137084539	9	UAP1L1
ENSG00000184033	ENSG00000184033.14	154617609	154619282	X	CTAG1B
ENSG00000159685	ENSG00000159685.11	126704240	126960420	3	CHCHD6
ENSG00000164867	ENSG00000164867.11	150991017	151014588	7	NOS3
ENSG00000126890	ENSG00000126890.14	154651972	154653579	X	CTAG2
ENSG00000169635	ENSG00000169635.10	21417371	21451463	22	HIC2
ENSG00000126016	ENSG00000126016.17	112774503	112840831	X	AMOT
ENSG00000064300	ENSG00000064300.9	49495293	49515008	17	NGFR
ENSG00000111275	ENSG00000111275.13	111766887	111817532	12	ALDH2
ENSG00000176248	ENSG00000176248.9	137174784	137188560	9	ANAPC2
ENSG00000100351	ENSG00000100351.17	39901084	39973721	22	GRAP2
ENSG00000244165	ENSG00000244165.2	10111693	10115372	19	P2RY11
ENSG00000156873	ENSG00000156873.16	30748293	30761176	16	PHKG2
ENSG00000164111	ENSG00000164111.15	121667946	121696995	4	ANXA5
ENSG00000163762	ENSG00000163762.7	149318498	149334414	3	TM4SF18
ENSG00000203499	ENSG00000203499.12	143734139	143790645	8	IQANK1
ENSG00000108179	ENSG00000108179.14	79347469	79355334	10	PPIF
ENSG00000141232	ENSG00000141232.5	50862223	50867978	17	TOB1
ENSG00000177570	ENSG00000177570.15	118189455	118622112	8	SAMD12
ENSG00000197102	ENSG00000197102.14	101964573	102056443	14	DYNC1H1
ENSG00000176160	ENSG00000176160.11	58420167	58488408	17	HSF5
ENSG00000104635	ENSG00000104635.15	22367278	22434129	8	SLC39A14
ENSG00000176058	ENSG00000176058.13	137191617	137204193	9	TPRN
ENSG00000173486	ENSG00000173486.14	64241003	64244132	11	FKBP2
ENSG00000108370	ENSG00000108370.17	65100812	65227703	17	RGS9
ENSG00000165424	ENSG00000165424.7	79382325	79445624	10	ZCCHC24
ENSG00000268350	ENSG00000268350.8	52926402	52995472	X	FAM156A
ENSG00000163630	ENSG00000163630.11	63228315	63616924	3	SYNPR
ENSG00000185303	ENSG00000185303.17	79555852	79560407	10	SFTPA2
ENSG00000233198	ENSG00000233198.4	137227502	137229640	9	RNF224
ENSG00000198569	ENSG00000198569.10	137230757	137236555	9	SLC34A3
ENSG00000146007	ENSG00000146007.11	140698680	140706686	5	ZMAT2
ENSG00000225528	ENSG00000225528.4	39960397	39964905	22	
ENSG00000189182	ENSG00000189182.10	52689626	52703524	12	KRT77
ENSG00000204970	ENSG00000204970.10	140786136	141012347	5	PCDHA1
ENSG00000275004	ENSG00000275004.4	22484421	22508742	22	ZNF280B
ENSG00000169548	ENSG00000169548.3	22513736	22520270	22	ZNF280A
ENSG00000188229	ENSG00000188229.6	137241287	137243707	9	TUBB4B
ENSG00000162694	ENSG00000162694.14	100872372	100895179	1	EXTL2
ENSG00000139354	ENSG00000139354.11	100573683	100628288	12	GAS2L3
ENSG00000196118	ENSG00000196118.12	30757423	30762221	16	CFAP119
ENSG00000185686	ENSG00000185686.18	22547701	22559361	22	PRAME
ENSG00000114771	ENSG00000114771.14	151814073	151828488	3	AADAC
ENSG00000021762	ENSG00000021762.20	3087107	3166739	11	OSBPL5
ENSG00000122852	ENSG00000122852.15	79610939	79615455	10	SFTPA1
ENSG00000204279	ENSG00000204279.8	55258415	55264916	X	PAGE3
ENSG00000158806	ENSG00000158806.14	22024125	22036897	8	NPM2
ENSG00000269791	ENSG00000269791.6	48402082	48411960	X	SSX4B
ENSG00000118197	ENSG00000118197.14	200623896	200669907	1	DDX59
ENSG00000083123	ENSG00000083123.15	80106647	80346270	6	BCKDHB
ENSG00000204969	ENSG00000204969.7	140794852	141012347	5	PCDHA2
ENSG00000169255	ENSG00000169255.15	161083883	161105411	3	B3GALNT1
ENSG00000255408	ENSG00000255408.4	140801028	141012347	5	PCDHA3
ENSG00000267534	ENSG00000267534.4	10221433	10231331	19	S1PR2
ENSG00000198113	ENSG00000198113.3	137277726	137282641	9	TOR4A
ENSG00000204967	ENSG00000204967.12	140806929	141012347	5	PCDHA4
ENSG00000198435	ENSG00000198435.4	137299631	137302271	9	NRARP
ENSG00000120156	ENSG00000120156.22	27109141	27230174	9	TEK
ENSG00000139842	ENSG00000139842.15	113208193	113267108	13	CUL4A
ENSG00000204965	ENSG00000204965.9	140821604	141012347	5	PCDHA5
ENSG00000102870	ENSG00000102870.6	30778456	30787205	16	ZNF629
ENSG00000236371	ENSG00000236371.6	120982476	120985760	X	CT47A1
ENSG00000081842	ENSG00000081842.18	140827958	141012347	5	PCDHA6
ENSG00000238205	ENSG00000238205.4	40623428	40624136	X	MPC1L
ENSG00000184911	ENSG00000184911.15	72776890	72848803	X	DMRTC1B
ENSG00000100121	ENSG00000100121.14	22644614	22647898	22	GGTLC2
ENSG00000175938	ENSG00000175938.7	30949068	30956461	16	ORAI3
ENSG00000213199	ENSG00000213199.8	151048292	151052756	7	ASIC3
ENSG00000135842	ENSG00000135842.17	184790724	184974508	1	NIBAN1
ENSG00000164483	ENSG00000164483.17	130144315	130365425	6	SAMD3
ENSG00000099377	ENSG00000099377.14	30985207	30989147	16	HSD3B7
ENSG00000214717	ENSG00000214717.12	2486414	2500976	X	ZBED1
ENSG00000204963	ENSG00000204963.6	140834248	141012347	5	PCDHA7
ENSG00000204962	ENSG00000204962.6	140841187	141012347	5	PCDHA8
ENSG00000158815	ENSG00000158815.11	22042398	22048809	8	FGF17
ENSG00000204961	ENSG00000204961.7	140847772	141012347	5	PCDHA9
ENSG00000002586	ENSG00000002586.20	2691187	2741309	X	CD99
ENSG00000123737	ENSG00000123737.13	121801318	121817021	4	EXOSC9
ENSG00000250120	ENSG00000250120.8	140855883	141012347	5	PCDHA10
ENSG00000184155	ENSG00000184155.8	159535078	159536007	1	OR10J5
ENSG00000058085	ENSG00000058085.15	183186238	183245127	1	LAMC2
ENSG00000099365	ENSG00000099365.11	30989256	31010638	16	STX1B
ENSG00000158863	ENSG00000158863.22	22089150	22104911	8	FHIP2B
ENSG00000075461	ENSG00000075461.6	66964707	67033398	17	CACNG4
ENSG00000128654	ENSG00000128654.14	176269395	176338025	2	MTX2
ENSG00000166226	ENSG00000166226.13	69585426	69601570	12	CCT2
ENSG00000249158	ENSG00000249158.7	140868183	141012347	5	PCDHA11
ENSG00000103496	ENSG00000103496.15	31032889	31042975	16	STX4
ENSG00000090339	ENSG00000090339.9	10271093	10286615	19	ICAM1
ENSG00000164885	ENSG00000164885.13	151053815	151057897	7	CDK5
ENSG00000148143	ENSG00000148143.13	106863166	107013634	9	ZNF462
ENSG00000251664	ENSG00000251664.5	140875302	141012347	5	PCDHA12
ENSG00000275074	ENSG00000275074.2	22106874	22109419	8	NUDT18
ENSG00000115368	ENSG00000115368.10	189441446	189475552	2	WDR75
ENSG00000105371	ENSG00000105371.10	10286955	10288522	19	ICAM4
ENSG00000168453	ENSG00000168453.16	22114419	22133384	8	HR
ENSG00000138109	ENSG00000138109.11	94938658	94990091	10	CYP2C9
ENSG00000100226	ENSG00000100226.16	38705742	38738299	22	GTPBP1
ENSG00000198482	ENSG00000198482.14	52527652	52564464	19	ZNF808
ENSG00000239389	ENSG00000239389.8	140882124	141012347	5	PCDHA13
ENSG00000112531	ENSG00000112531.17	163414000	163578592	6	QKI
ENSG00000069188	ENSG00000069188.17	73334384	73644445	17	SDK2
ENSG00000186009	ENSG00000186009.5	113648804	113658198	13	ATP4B
ENSG00000148156	ENSG00000148156.8	108854588	108855986	9	ACTL7B
ENSG00000213020	ENSG00000213020.10	52702813	52735073	19	ZNF611
ENSG00000187003	ENSG00000187003.7	108862266	108863756	9	ACTL7A
ENSG00000143167	ENSG00000143167.12	167052836	167166479	1	GPA33
ENSG00000164897	ENSG00000164897.14	151081085	151083493	7	TMUB1
ENSG00000250479	ENSG00000250479.9	23765834	23767972	22	CHCHD10
ENSG00000138115	ENSG00000138115.15	95036772	95069497	10	CYP2C8
ENSG00000126217	ENSG00000126217.22	112894378	113099742	13	MCF2L
ENSG00000110619	ENSG00000110619.18	3000922	3057613	11	CARS1
ENSG00000099953	ENSG00000099953.10	23768226	23784316	22	MMP11
ENSG00000243232	ENSG00000243232.6	140966470	141012347	5	PCDHAC2
ENSG00000133612	ENSG00000133612.19	151085831	151144436	7	AGAP3
ENSG00000143184	ENSG00000143184.5	168576605	168582069	1	XCL1
ENSG00000006607	ENSG00000006607.14	241356285	241494841	2	FARP2
ENSG00000137845	ENSG00000137845.15	58588809	58749791	15	ADAM10
ENSG00000177807	ENSG00000177807.10	159998651	160070160	1	KCNJ10
ENSG00000171815	ENSG00000171815.6	141051374	141059346	5	PCDHB1
ENSG00000145386	ENSG00000145386.11	121816444	121823883	4	CCNA2
ENSG00000164438	ENSG00000164438.6	171309248	171312139	5	TLX3
ENSG00000143228	ENSG00000143228.13	163266576	163355764	1	NUF2
ENSG00000198538	ENSG00000198538.11	52797408	52857600	19	ZNF28
ENSG00000156427	ENSG00000156427.8	171419647	171457626	5	FGF18
ENSG00000167394	ENSG00000167394.13	31060843	31074240	16	ZNF668
ENSG00000168476	ENSG00000168476.12	22138020	22141951	8	REEP4
ENSG00000108878	ENSG00000108878.5	67044554	67056797	17	CACNG1
ENSG00000152439	ENSG00000152439.13	57499915	57518404	19	ZNF773
ENSG00000168269	ENSG00000168269.10	170105897	170109734	5	FOXI1
ENSG00000121406	ENSG00000121406.9	57527325	57557542	19	ZNF549
ENSG00000145936	ENSG00000145936.9	170374671	170389634	5	KCNMB1
ENSG00000167395	ENSG00000167395.10	31074422	31084196	16	ZNF646
ENSG00000083817	ENSG00000083817.9	57571566	57578911	19	ZNF416
ENSG00000179104	ENSG00000179104.9	82686880	83134870	12	TMTC2
ENSG00000043462	ENSG00000043462.13	170246233	170297815	5	LCP2
ENSG00000138185	ENSG00000138185.20	95711779	95877266	10	ENTPD1
ENSG00000171649	ENSG00000171649.12	57578456	57593890	19	ZIK1
ENSG00000072506	ENSG00000072506.14	53431258	53434370	X	HSD17B10
ENSG00000180901	ENSG00000180901.11	75032575	75065889	17	KCTD2
ENSG00000167397	ENSG00000167397.15	31090842	31095980	16	VKORC1
ENSG00000213762	ENSG00000213762.12	57614233	57624724	19	ZNF134
ENSG00000140600	ENSG00000140600.17	83447228	83618743	15	SH3GL3
ENSG00000189420	ENSG00000189420.9	153411472	153426481	X	ZFP92
ENSG00000103507	ENSG00000103507.14	31106107	31112791	16	BCKDK
ENSG00000123569	ENSG00000123569.10	104011147	104013708	X	H2BW1
ENSG00000121417	ENSG00000121417.14	57630395	57644041	19	ZNF211
ENSG00000171405	ENSG00000171405.13	52811287	52818301	X	XAGE5
ENSG00000198265	ENSG00000198265.12	67070444	67245989	17	HELZ
ENSG00000138741	ENSG00000138741.11	121874481	121952060	4	TRPC3
